X	Y	Z	RotX	RotY	RotZ	XDt	YDt	ZDt	RotXDt	RotYDt	RotZDt
0.022349	-0.035595	0.22305	-0.0059487	0.021739	-0.023692	0.0016832	-0.010531	0.0046658	-0.00081614	-0.0046357	0.002533
0.021469	-0.042768	0.21705	0.0052332	0.0228	-0.022188	-0.00088035	-0.0071727	-0.0060068	0.011182	0.0010607	0.0015047
0.019047	-0.039888	0.19629	0.0049989	0.013783	-0.014965	-0.0024215	0.0028792	-0.020753	-0.00023426	-0.009017	0.0072226
0.016344	-0.030857	0.18336	0.010642	0.023353	-0.010024	-0.0027036	0.0090318	-0.012931	0.0056428	0.00957	0.0049415
0.027731	-0.015153	0.16889	-0.024049	0.034299	-0.0078489	0.011387	0.015703	-0.014476	-0.03469	0.010946	0.0021747
0.019227	-0.02144	0.20011	-0.035397	0.045821	-0.0030049	-0.0085037	-0.0062872	0.031227	-0.011348	0.011522	0.0048439
0.033504	-0.012896	0.21108	-0.045161	0.057559	-0.011266	0.014276	0.0085449	0.01097	-0.0097641	0.011738	-0.0082614
0.015884	-0.037674	0.21961	-0.038398	0.057159	-0.011746	-0.01762	-0.024778	0.0085317	0.006763	-0.00040024	-0.00047967
0.020855	-0.043312	0.20486	-0.013574	0.057476	-0.019968	0.004971	-0.0056379	-0.014752	0.024824	0.00031782	-0.0082216
0.017336	-0.029326	0.16495	-0.024275	0.062526	-0.01618	-0.0035185	0.013986	-0.039917	-0.010701	0.0050499	0.003788
0.01312	-0.030483	0.17775	-0.015085	0.062268	-0.018327	-0.004216	-0.0011576	0.012809	0.00919	-0.00025881	-0.0021472
0.012994	0.0051922	0.16068	-0.033901	0.070433	-0.01449	-0.00012636	0.035675	-0.017077	-0.018815	0.0081658	0.0038365
0.0087182	-0.020404	0.18244	-0.035048	0.065891	-0.015286	-0.0042759	-0.025596	0.021759	-0.0011472	-0.0045421	-0.00079533
0.010084	-0.012597	0.18679	-0.037934	0.06675	-0.012301	0.0013657	0.0078069	0.0043518	-0.0028856	0.00085907	0.0029846
0.016948	-0.028622	0.17836	-0.027999	0.062792	-0.014315	0.0068642	-0.016025	-0.0084324	0.0099346	-0.0039584	-0.0020139
0.017482	-0.028784	0.18796	-0.02156	0.057263	-0.014355	0.00053397	-0.00016174	0.009602	0.0064392	-0.005529	-4.024e-05
0.014921	-0.037848	0.18679	-0.020697	0.062901	-0.017673	-0.0025606	-0.0090634	-0.001165	0.00086322	0.0056385	-0.003318
0.012681	-0.04552	0.19983	-0.033965	0.06135	-0.015158	-0.0022408	-0.0076727	0.01304	-0.013268	-0.001551	0.002515
0.0076061	-0.067744	0.23774	-0.033006	0.06576	-0.022509	-0.0050745	-0.022224	0.037908	0.00095929	0.0044094	-0.0073511
0.008625	-0.078478	0.26788	-0.07835	0.081678	-0.020452	0.0010189	-0.010734	0.030142	-0.045345	0.015918	0.0020577
